biomarker_handle,name,short_description,category
creatinine,Creatinine,"Creatinine is a chemical waste molecule that is generated from normal muscle break down. Sportspeople can therefore have higher levels than the average person.  Creatinine is cleared from the kidneys and so is also an accurate marker of kidney function, and may help in diagnosing kidney disease.",Kidney Health
urea,Urea,"Urea is a waste product produced by the body when it breaks down proteins in the liver. Once the urea is made, it is transported to the kidneys, which filter it out of the blood and remove it from the body in the form of urine. Measuring the levels of urea in the blood can therefore reflect how well both the liver and the kidneys, are functioning. It is important to note that even if one kidney is severely damaged but the other is functioning perfectly, results may still return as normal.",Kidney Health
egfr,eGFR,"The estimated glomerular filtration rate (eGFR) assesses how well the kidneys are working by estimating the amount of blood filtered through the kidneys. The glomeruli are tiny filters in the kidneys responsible for removing waste products. If these filters do not do their job properly, kidney function can be impaired. The eGFR calculation is an estimate of actual glomerular filtration rate, calculated using your age, gender, ethnicity, and serum creatinine levels.",Kidney Health
creatinine-urine,Creatinine - Urine,"Creatinine is a chemical waste molecule that is generated from normal muscle metabolism. Measurement of this is an indicator of the levels of other waste products in the body. Creatinine is also an accurate marker of kidney function, and may help in diagnosing kidney disease.",Kidney Health
microalbumin-urine,Microalbumin - Urine,"Albumin is one of the commonest proteins in the blood and is usually either not present, or present at extremely low levels in the urine. Increases in the quantity of albumin in the urine can be an early indicator of chronic kidney disease. 

This test measures the concentration of albumin in the urine. It is reported without a reference range as it can be affected by levels of hydration. It is used to calculate the albumin : creatinine ratio which takes account of changes in hydration levels.",Kidney Health
sodium,Sodium,"We do not report on sodium levels in fingerprick samples. This is because there is a small chance of a lower than expected result.

Sodium is both an electrolyte and a mineral. It helps to regulate the water and electrolyte balance of the body, and is therefore an important factor in blood pressure and pH. It also plays an important role in the function of nerves and muscles. Sodium levels in the blood are regulated by the kidneys.",Kidney Health
protein,Protein,"Protein can temporarily appear in the urine when there is infection or inflammation in the urinary tract. If it persists it can be a sign of underlying illness causing the kidneys to leak protein. 

This test uses a urine dipstick to provide an estimate of the amount of protein present in a urine sample.",Kidney Health
alt,ALT,"Alanine transferase (ALT) is an enzyme which is produced by the liver and can indicate liver damage caused by alcohol, drugs or viruses (hepatitis).",Liver Health
alp,ALP,"Alkaline phosphatase (ALP) is an enzyme found mainly in the liver and bones. Measuring it can indicate whether people have any ongoing liver, gallbladder or bone diseases.",Liver Health
hyaluronic-acid,Hyaluronic Acid,Hyaluronic acid is naturally present in virtually every tissue in the body but is found in high concentrations in the fluids of the eyes and joints. Hyaluronic Acid is also associated with liver function and liver fibrosis.,Liver Health
bilirubin,Bilirubin,"Bilirubin is a product of the breakdown of haemoglobin from red blood cells. It is removed from the body via the liver, stored and concentrated in the gallbladder and secreted into the bowel. It is removed from your body through urine and faeces. Bilirubin causes the yellowish colour you sometimes see in bruises, due to red blood cells breaking down underneath the skin.",Liver Health
total-bile-acids,Total Bile Acids,NA,Liver Health
conjugated-bilirubin,Conjugated Bilirubin,"Bilirubin is a product of haemoglobin breakdown, which is a protein in red blood cells. It is removed from the body via the liver, stored and concentrated in the gallbladder and secreted into the bowel. In the liver, most of the bilirubin is chemically attached to another molecule before it is released in the bile. This attached bilirubin is called conjugated or direct bilirubin.",Liver Health
shbg,SHBG,"Most of the sex hormones - testosterone, oestrogen and dihydrotestosterone (DHT) - found in your blood are bound to Sex Hormone Binding Globulin (SHBG) which means that they are unavailable to your cells. Measuring the level of SHBG in your blood gives important information about your levels of free or unbound hormones which are biologically active and available for use.",Proteins
albumin,Albumin,"Albumin is a protein which is made mainly in the liver. It helps to exert the osmotic pressure which holds water within the blood. It also helps carry nutrients and medications and other substances through the blood and is important for tissue growth and healing. Albumin also carries hormones around the body, therefore measuring the amount of albumin in the blood can help us calculate how much hormone is available to your tissues.",Proteins
globulin,Globulin,"Globulin is an umbrella term for a set of different proteins that the immune system and the liver produce. Certain globulins bind with haemoglobin while others transport metals, such as iron, in the blood. Additionally, there is a certain type of globulin known as an immunoglobulin, (another name for an antibody) which helps to fight infection in the body.",Proteins
total-protein,Total Protein,"Total Protein represents the sum of the proteins albumin and globulin in your blood. Albumin and globulin have a range of functions including keeping blood within vessels, transporting nutrients and fighting infection. Abnormal levels can indicate malnutrition as well as a liver or kidney disorder.",Proteins
igf-bp-3,IGF BP-3,NA,Proteins
triglycerides,Triglycerides,"Triglycerides are a type of fat (lipid) that circulate in the blood. They are carried in the bloodstream by lipoproteins called chylomicrons and VLDLs (very low density lipoproteins). After you eat, your body converts excess calories into triglycerides which are then transported to cells to be stored as fat. Your body then releases triglycerides when required for energy.",Cholesterol Status
ldl-cholesterol,LDL Cholesterol,"LDL cholesterol (low density lipoprotein) is a molecule made of lipids and proteins which transports cholesterol, triglycerides and other fats to various tissues throughout the body. Too much LDL cholesterol, commonly called 'bad cholesterol', can cause fatty deposits to accumulate inside artery walls, potentially leading to atherosclerosis and heart disease.


You can make dramatic changes to your cholesterol levels through diet and training. And just like with the diabetes checks, if you can improve your levels you can hopefully prevent getting serious, possibly even fatal conditions down the line. 

You can use HDL and LDL (and non-HDL) results as markers and targets for improvement. Regular exercise will help get the LDL down and the HDL up, in particular cardio and resistance training exercises. A Mediterranean diet which is high in vegetables and oily fish, and low in meat and dairy, will also help to optimise cholesterol levels.",Cholesterol Status
total-cholesterol-hdl,Total Cholesterol : HDL,"The cholesterol/HDL ratio is calculated by dividing your total cholesterol value by your HDL cholesterol level. It is used as a measure of cardiovascular risk because it gives a good insight into the proportion of your total cholesterol which is ""good"" (i.e. high-density lipoprotein, HDL). Heart disease risk tools (such as QRisk) use the cholesterol/HDL ratio to calculate your risk of having a heart attack.",Cholesterol Status
non-hdl-cholesterol,Non HDL Cholesterol,"Non-HDL cholesterol includes all the cholesterol molecules which are not HDL (or ‘good’ cholesterol). It therefore includes all the non-protective and potentially harmful cholesterol in your blood. As such, it is considered to be a better marker for cardiovascular risk than total cholesterol and LDL cholesterol. The recommended level of non-HDL cholesterol is below 4 mmol/L.


You can make dramatic changes to your cholesterol levels through diet and training. And just like with the diabetes checks, if you can improve your levels you can hopefully prevent getting serious, possibly even fatal conditions down the line. 

You can use HDL and LDL (and non-HDL) results as markers and targets for improvement. Regular exercise will help get the LDL down and the HDL up, in particular cardio and resistance training exercises. A Mediterranean diet which is high in vegetables and oily fish, and low in meat and dairy, will also help to optimise cholesterol levels.",Cholesterol Status
apolipoprotein-a1,Apolipoprotein A1,"Apolipoprotein A1, or ApoA1 is a major protein that is a component of high-density lipoprotein, or HDL cholesterol. It helps clear cholesterol from the blood by removing cholesterol from organs and tissues to be destroyed by the liver.",Cholesterol Status
apolipoprotein-b,Apolipoprotein B,"Apolipoprotein B, or ApoB is the primary apolipoprotein of low-density lipoproteins (LDL or bad cholesterol). It is responsible for carrying cholesterol to tissues.",Cholesterol Status
lp-pla2,Lp PLA2,"The enzyme lipoprotein-associated phospholipase A2 (Lp-PLA2) plays a role in the inflammation of blood vessels, promoting the buildup of plaque in the coronary arteries. Lp-PLA2 is a risk marker for cardiovascular disease and because it is produced in the plaque itself, Lp-PLA2 is thought to be more sensitive at assessing cardiovascular disease risk than traditional inflammatory markers, such as CRP.",Cholesterol Status
vldl-cholesterol,VLDL Cholesterol,NA,Cholesterol Status
total-cholesterol,Total Cholesterol,"Cholesterol is an essential fat (lipid) in the body. Although it has a bad reputation it has some important functions, including building cell membranes and producing a number of essential hormones. Cholesterol is manufactured in the liver and also comes from the food we eat. Total cholesterol is a measure of all the cholesterol in your blood, both good (HDL) and bad (LDL, VLDL and non HDL). 

Fats are the primary energy source for endurance events or when carbohydrate energy sources are low. In particular medium-chain fatty acids are heavily utilised. Cholesterol transports fatty acids around the body and by looking at the levels of the different types of cholesterol we can get an insight into your health and cardiovascular risk (i.e. the buildup of cholesterol in blood vessels leading to blood vessel narrowing, heart attack and stroke).

The liver regulates cholesterol levels in the body; it both synthesizes it and removes it, it also synthesises various lipoproteins that transport cholesterol throughout the body – and it is these that we measure in the cholesterol test.",Cholesterol Status
ldl-7-subfractions,LDL - 7 Subfractions,"This test will report on the levels of LDL types 1 and 2 which are the larger LDL particles, and LDL types 3 through 7 which are the smaller denser particles that are more strongly associated with atheroma formation.",Cholesterol Status
crp,CRP,C Reactive Protein (CRP) is a protein made in the liver in response to inflammation or infection in the body.,Inflammation
esr,ESR,"ESR (Erythrocyte Sedimentation Rate) is a non-specific inflammation marker. It measures the rate at which red blood cells fall to the bottom of a tube. The blood cells fall quicker during inflammation, as there are more proteins in the blood, caused by the inflammation. It is said to be nonspecific because increases do not indicate exactly where the inflammation in your body is, or what is causing it, and also because it can be affected by other conditions other than inflammation.",Inflammation
ferritin,Ferritin,"Ferritin is a complex globular protein which stores iron in an inactive form. As your iron stores deplete, the ferritin releases its iron for use. If your ferritin depletes then you will run out of iron and if your iron runs out your ability to produce red blood cells in your bone marrow decreases. Ferritin therefore gives a good measure of your iron stores.

Ferritin is also an acute phase protein, so can increase during periods of infection, inflammation or trauma.",Iron Status
iron,Iron,"Iron is a vital component of oxygen transport, DNA synthesis and oxidative phosphorylation, which are fundamental processes for life, let alone sporting performance. About half of your body’s iron (about 2.1g) is found in red blood cells in the oxygen-transporting haemoglobin. About another gram is found in macrophages (white blood cells) and in the oxygen-transporting myoglobin of muscles. Excess iron is stored in the liver. If you are low on iron you will struggle to respire at the cellular level as well as you could and so you will feel more fatigued and get tired quicker. For athletes this will result in a reduced performance, impaired VO2 Max, reduced energy efficiency, inability to train maximally each day, greater maximum lactate and quicker exhaustion.  

You get your iron from two main sources: from your diet (about 5%) and from the breakdown and turnover of your red blood cells (about 95%). In your diet there are two main types of iron: Fe2+, which is found in meat and dairy products, and Fe3+, which is harder to absorb and found in plant based foods. 

Iron status tests look at several measures of iron, which together can paint a picture about your iron metabolism and what it means for you.",Iron Status
tibc,TIBC,Total iron-binding capacity (TIBC) is a measure of the ability of your body to efficiently carry iron through the blood.,Iron Status
uibc,UIBC,Unsaturated iron binding capacity (UIBC) represents the portion of iron binding sites on transferrin that are not occupied by iron. UIBC is often measured along with iron and total iron-binding capacity (TIBC) as a diagnostic tool to determine various iron disorders.,Iron Status
oestradiol,Oestradiol,"Oestradiol is a female steroid hormone, produced in the ovaries of women and to a much lesser extent in the testes of men. It is the strongest of three oestrogens and is responsible for the female reproductive system as well as the growth of breast tissue and bone thickness. In pre-menopausal women, oestradiol levels vary throughout the monthly cycle, peaking at ovulation. In women, oestradiol levels decline with age, culminating with the menopause when the ovaries stop producing eggs. Low oestradiol can cause many symptoms associated with the menopause, including hot flushes, night sweats and mood swings. Low oestradiol can also cause osteoporosis.",Hormones
progesterone,Progesterone,"Progesterone is a steroid hormone produced in the corpus luteum and the adrenal glands. Its main role is to prepare the body for and support a pregnancy. It is produced in increasing amounts in the second half of the menstrual cycle. Progesterone is normally tested on day 21 of your menstrual cycle to assess whether ovulation has taken place. 

Although progesterone is considered a female hormone, men also produce progesterone in the adrenal glands and the testes. Progesterone in men plays a role in testosterone production.",Hormones
